,0,1
0,music,17083
1,video,16276
2,n,13030
3,new,10852
4,twitter,8982
5,us,8821
6,official,8755
7,get,8348
8,channel,7979
9,facebook,7746
10,show,7474
11,instagram,7411
12,videos,7204
13,youtube,7101
14,live,6988
15,2018,6840
16,like,6606
17,one,6372
18,im,6083
19,news,5604
20,know,5422
21,late,5350
22,subscribe,5257
23,_,5162
24,available,4994
25,love,4882
26,dont,4647
27,world,4345
28,night,4252
29,album,4243
30,time,4084
31,make,4017
32,watch,3965
33,jimmy,3890
34,play,3849
35,star,3842
36,first,3818
37,full,3818
38,que,3805
39,performing,3616
40,every,3562
41,la,3415
42,exclusive,3386
43,want,3376
44,tmz,3329
45,go,3316
46,entertainment,3284
47,film,3229
48,de,3194
49,best,3135
50,movie,3060
51,follow,3057
52,latest,3013
53,also,2977
54,website,2967
55,voice,2870
56,way,2860
57,wars,2846
58,see,2809
59,2017,2791
60,back,2770
61,got,2746
62,use,2745
63,song,2702
64,day,2666
65,life,2626
66,kimmel,2573
67,2,2566
68,made,2510
69,producer,2503
70,episodes,2478
71,find,2477
72,sports,2469
73,talk,2427
74,tumblr,2421
75,links,2369
76,look,2346
77,never,2327
78,people,2323
79,james,2310
80,te,2299
81,google,2286
82,trailer,2230
83,cbs,2202
84,think,2193
85,last,2170
86,series,2145
87,spotify,2133
88,free,2111
89,c,2106
90,tv,2099
91,en,2082
92,little,2071
93,ever,2065
94,take,2045
95,tour,2021
96,content,2008
97,cant,1999
98,director,1987
99,social,1972
100,come,1955
101,say,1934
102,original,1926
103,home,1918
104,youre,1908
105,shows,1885
106,much,1855
107,netflix,1848
108,well,1844
109,today,1843
110,feat,1827
111,records,1801
112,nbc,1801
113,could,1789
114,trailers,1785
115,story,1777
116,wanna,1756
117,1,1755
118,may,1748
119,christmas,1746
120,next,1744
121,tonight,1739
122,gonna,1737
123,still,1722
124,stream,1719
125,celebrity,1702
126,media,1696
127,x,1690
128,give,1687
129,episode,1685
130,starring,1676
131,favorite,1675
132,need,1663
133,season,1663
134,years,1649
135,even,1636
136,try,1615
137,family,1598
138,many,1593
139,ive,1589
140,good,1586
141,would,1583
142,always,1579
143,black,1577
144,big,1573
145,camera,1572
146,itunes,1562
147,david,1561
148,game,1548
149,site,1543
150,merch,1528
151,beauty,1514
152,visit,1510
153,book,1508
154,support,1496
155,great,1496
156,things,1494
157,feel,1485
158,march,1480
159,comedy,1475
160,everything,1468
